               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033439,            0.025263,           0.0022766,             0.89619,             0.77775,             0.84133,              0.5093,            0.037427,            0.041531,           0.0022176,            0.008845,            0.008845,            0.008845
                  37,            0.032659,            0.025356,           0.0022477,             0.88184,             0.80317,             0.84479,             0.51058,            0.037016,            0.038072,           0.0020816,            0.008812,            0.008812,            0.008812
                  38,            0.033797,             0.02653,           0.0023196,             0.89755,             0.79731,             0.85361,             0.51977,            0.035541,            0.038146,           0.0020421,            0.008779,            0.008779,            0.008779
                  39,            0.032156,            0.024502,           0.0022572,             0.94314,              0.7545,             0.83867,             0.50942,            0.035756,            0.039016,           0.0022574,            0.008746,            0.008746,            0.008746
                  40,            0.032608,            0.025428,           0.0022708,             0.91355,             0.79932,             0.85876,             0.52523,            0.034854,              0.0385,           0.0021283,            0.008713,            0.008713,            0.008713
                  41,            0.031813,            0.024919,           0.0021922,             0.90966,             0.79443,             0.84939,             0.52539,             0.03518,            0.038458,           0.0021181,             0.00868,             0.00868,             0.00868
                  42,            0.032385,            0.024577,           0.0022269,             0.92739,             0.78667,             0.85169,             0.52882,              0.0355,             0.03877,           0.0021748,            0.008647,            0.008647,            0.008647
                  43,            0.030695,            0.025048,            0.002113,             0.93847,             0.77071,             0.84131,             0.52903,            0.034744,            0.038929,            0.002053,            0.008614,            0.008614,            0.008614
                  44,            0.030843,            0.024029,           0.0022629,             0.92512,              0.7942,             0.85119,             0.52949,            0.035253,            0.038685,           0.0020773,            0.008581,            0.008581,            0.008581
                  45,            0.030711,            0.025014,           0.0021805,             0.89212,             0.80222,             0.85105,             0.52795,            0.034649,            0.038211,           0.0020703,            0.008548,            0.008548,            0.008548
                  46,            0.031276,            0.024339,            0.002201,             0.89275,             0.80223,             0.84787,              0.5267,            0.034086,            0.036304,           0.0020567,            0.008515,            0.008515,            0.008515
                  47,            0.031074,            0.023919,           0.0021513,             0.89405,              0.8285,             0.86193,             0.52569,            0.035006,            0.040178,           0.0020423,            0.008482,            0.008482,            0.008482
                  48,            0.031033,            0.024325,           0.0020921,             0.91524,             0.79432,             0.85541,             0.53396,            0.033491,            0.037138,           0.0020381,            0.008449,            0.008449,            0.008449
                  49,            0.030576,            0.024122,           0.0021655,              0.9567,             0.76106,             0.84664,             0.53217,            0.033391,            0.037215,           0.0020196,            0.008416,            0.008416,            0.008416
                  50,            0.030972,            0.024254,           0.0020445,             0.90844,              0.8041,             0.85596,             0.53451,            0.033836,            0.036654,           0.0022139,            0.008383,            0.008383,            0.008383
                  51,            0.029836,            0.023909,           0.0020026,             0.92581,             0.78761,             0.84437,             0.53285,            0.033154,            0.036093,           0.0020667,             0.00835,             0.00835,             0.00835
                  52,            0.029813,              0.0241,            0.002139,             0.90395,             0.80521,              0.8538,             0.53742,            0.033483,            0.037702,           0.0020575,            0.008317,            0.008317,            0.008317
                  53,            0.029206,            0.024366,           0.0020519,             0.94541,             0.78467,             0.86199,             0.53933,            0.033491,            0.037331,           0.0020475,            0.008284,            0.008284,            0.008284
                  54,            0.029903,             0.02381,           0.0020903,              0.9127,             0.79743,             0.85894,             0.53781,            0.033472,            0.038034,           0.0020855,            0.008251,            0.008251,            0.008251
                  55,            0.029922,            0.024261,           0.0019805,             0.92628,             0.78757,              0.8576,             0.53986,            0.033478,            0.037937,           0.0020435,            0.008218,            0.008218,            0.008218
                  56,            0.028994,            0.023103,            0.002023,             0.88921,             0.82645,             0.87087,             0.55046,            0.032638,            0.037157,           0.0020098,            0.008185,            0.008185,            0.008185
                  57,             0.02945,             0.02347,            0.001904,             0.87628,             0.81209,               0.855,             0.53746,             0.03352,            0.038678,            0.001992,            0.008152,            0.008152,            0.008152
                  58,            0.029339,            0.023569,           0.0019523,             0.91304,             0.80212,             0.86334,             0.54658,            0.033059,            0.040128,           0.0019676,            0.008119,            0.008119,            0.008119
                  59,            0.028769,             0.02367,           0.0019323,             0.92739,              0.7915,              0.8538,             0.54525,            0.032138,            0.035679,           0.0018888,            0.008086,            0.008086,            0.008086
                  60,            0.028156,            0.022899,           0.0018611,             0.90112,             0.81397,             0.86289,             0.55188,            0.031883,            0.034584,           0.0019089,            0.008053,            0.008053,            0.008053
                  61,            0.027881,            0.022452,           0.0018985,             0.89971,             0.82748,             0.87213,             0.54902,            0.032695,            0.036486,           0.0019322,             0.00802,             0.00802,             0.00802
                  62,            0.028179,            0.022591,           0.0018827,             0.88744,             0.81998,             0.86317,             0.54806,            0.032957,             0.03651,           0.0019588,            0.007987,            0.007987,            0.007987
                  63,            0.028458,            0.023223,            0.001843,             0.91001,             0.80799,             0.86258,             0.55009,            0.033258,            0.037035,           0.0019038,            0.007954,            0.007954,            0.007954
                  64,            0.028008,            0.022259,            0.001891,             0.90183,             0.83115,             0.87296,             0.55487,            0.033047,            0.035515,           0.0018413,            0.007921,            0.007921,            0.007921
                  65,            0.028478,            0.023043,           0.0020118,              0.9596,             0.77975,              0.8669,             0.54715,            0.032872,            0.037191,           0.0018804,            0.007888,            0.007888,            0.007888
                  66,            0.028513,            0.023644,           0.0019019,             0.88939,             0.82392,             0.86612,             0.55637,            0.032742,            0.037925,           0.0018792,            0.007855,            0.007855,            0.007855
                  67,            0.028691,            0.023302,           0.0019511,             0.93414,             0.80157,             0.86289,             0.54603,            0.032562,            0.038375,            0.001875,            0.007822,            0.007822,            0.007822
                  68,            0.027321,            0.022274,           0.0019143,             0.90451,             0.81008,             0.86146,             0.55276,            0.032572,            0.037076,           0.0018877,            0.007789,            0.007789,            0.007789
                  69,            0.027905,            0.023407,           0.0018463,              0.9088,              0.8108,              0.8589,             0.54705,            0.031565,            0.036585,           0.0018286,            0.007756,            0.007756,            0.007756
                  70,            0.027311,            0.021939,           0.0018512,             0.92491,             0.82752,             0.88382,             0.55787,            0.031854,             0.03534,           0.0018054,            0.007723,            0.007723,            0.007723
                  71,            0.027167,            0.021952,           0.0018919,             0.87837,             0.83943,             0.86735,              0.5457,            0.032729,            0.036524,           0.0019093,             0.00769,             0.00769,             0.00769
                  72,            0.027388,            0.021686,           0.0017633,              0.9021,             0.82148,             0.86423,             0.55168,            0.032441,            0.036328,           0.0018927,            0.007657,            0.007657,            0.007657
                  73,            0.027372,            0.023234,           0.0018134,             0.92481,             0.81684,             0.87326,             0.56352,            0.031853,            0.037105,           0.0017784,            0.007624,            0.007624,            0.007624
                  74,            0.027511,            0.021752,           0.0018635,             0.92357,             0.83842,             0.87189,             0.56225,            0.031743,            0.035953,           0.0018382,            0.007591,            0.007591,            0.007591
                  75,              0.0277,            0.023314,           0.0019182,             0.91299,             0.82564,             0.86543,             0.55642,            0.031851,            0.036228,           0.0017866,            0.007558,            0.007558,            0.007558
                  76,            0.027548,            0.022048,           0.0018584,             0.91252,             0.82799,             0.87011,             0.56064,            0.031511,            0.035764,           0.0018286,            0.007525,            0.007525,            0.007525
                  77,            0.027317,             0.02273,           0.0018848,             0.93355,              0.8314,             0.88102,             0.56478,            0.031087,            0.036436,           0.0018042,            0.007492,            0.007492,            0.007492
                  78,            0.027527,            0.022454,           0.0017486,             0.93037,             0.83036,             0.87759,             0.56846,            0.031754,            0.035953,           0.0018133,            0.007459,            0.007459,            0.007459
                  79,            0.026272,            0.022636,           0.0017473,             0.89174,              0.8403,             0.87732,             0.56747,            0.031729,            0.035478,           0.0018159,            0.007426,            0.007426,            0.007426
                  80,            0.026712,             0.02204,           0.0017487,             0.92401,             0.81684,             0.87919,             0.56392,            0.031713,            0.036288,           0.0018617,            0.007393,            0.007393,            0.007393
                  81,            0.026613,             0.02248,           0.0017146,             0.91489,             0.84049,             0.87814,             0.56737,            0.030695,            0.035134,           0.0017649,             0.00736,             0.00736,             0.00736
                  82,            0.026737,            0.022576,           0.0017979,             0.93093,             0.81688,              0.8753,             0.56115,            0.030918,            0.034738,           0.0018188,            0.007327,            0.007327,            0.007327
                  83,            0.026367,            0.021724,           0.0017371,              0.9191,             0.82053,             0.87514,             0.56444,            0.032124,             0.03684,           0.0018485,            0.007294,            0.007294,            0.007294
                  84,            0.026928,            0.022648,           0.0018563,             0.89706,             0.83559,             0.87254,             0.57199,            0.030757,             0.03524,           0.0017334,            0.007261,            0.007261,            0.007261
                  85,            0.026361,            0.022065,           0.0016588,             0.89906,              0.8436,             0.87046,             0.56028,            0.031101,            0.036707,           0.0018946,            0.007228,            0.007228,            0.007228
                  86,            0.025805,            0.021454,           0.0017247,             0.90595,             0.83075,             0.86444,              0.5575,            0.031486,            0.036425,           0.0017943,            0.007195,            0.007195,            0.007195
                  87,            0.025819,            0.021181,           0.0017362,             0.91936,              0.8364,             0.88059,             0.57358,            0.031037,            0.035119,           0.0017568,            0.007162,            0.007162,            0.007162
                  88,            0.026746,            0.021907,           0.0018226,              0.9306,              0.8122,             0.86955,             0.56865,            0.031446,            0.035917,           0.0018053,            0.007129,            0.007129,            0.007129
                  89,            0.025384,             0.02115,            0.001672,             0.90079,             0.82073,             0.86896,             0.56101,            0.031438,            0.036168,           0.0017808,            0.007096,            0.007096,            0.007096
                  90,            0.025871,              0.0218,           0.0017652,             0.90957,             0.83857,             0.87755,             0.56813,            0.031149,            0.035603,           0.0017674,            0.007063,            0.007063,            0.007063
                  91,            0.025943,            0.022072,           0.0017597,             0.89444,             0.83614,             0.87269,             0.56382,            0.031219,            0.035811,           0.0017015,             0.00703,             0.00703,             0.00703
                  92,             0.02565,            0.020675,           0.0017709,             0.90687,             0.84725,             0.88258,             0.57261,            0.031173,            0.034971,            0.001682,            0.006997,            0.006997,            0.006997
                  93,             0.02596,            0.021351,           0.0016529,             0.92083,             0.85126,              0.8819,             0.57114,            0.030986,            0.035153,           0.0016986,            0.006964,            0.006964,            0.006964
                  94,             0.02566,            0.020776,           0.0017381,             0.92402,             0.84733,             0.88851,             0.57062,            0.031519,            0.035927,           0.0017011,            0.006931,            0.006931,            0.006931
